generation,max_fitness,avg_fitness,best_individual
0,388,378.7,0111010110111101001110101100100100100000110001011000111010110101101010011111101110011100000101110011
1,389,378.467,0111110111100001110000111010110011111101011111001111111111111110110110111110011100111101000001110100
2,389,378.633,0111110111100001110000111010110011111101011111001111111111111110110110111110011100111101000001110100
3,391,379.8,0010001111101011101011101100000000011111111111101111110110011101101110011111101110011100000101110011
4,397,379.8,0111000100101101101111101100110110101000110001011000011010110100010100110110100110101100000000011000
5,397,379.9,0111000100101101101111101100110110101000110001011000011010110100010100110110100110101100000000011000
6,397,381.1,0111000100101101101111101100110110101000110001011000011010110100010100110110100110101100000000011000
7,397,379.333,0111000100101101101111101100110110101000110001011000011010110100010100110110100110101100000000011000
8,397,380.8,0111000100101101101111101100110110101000110001011000011010110100010100110110100110101100000000011000
9,402,383.933,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
10,402,387.233,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
11,402,387.533,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
12,402,387.067,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
13,402,387.767,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
14,402,387.767,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
15,402,385.2,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
16,402,383.833,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
17,402,384,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
18,402,382.067,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
19,402,380.633,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
20,402,381.933,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
21,402,382.133,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
22,402,383.067,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
23,402,387.1,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
24,402,388.733,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
25,402,389.2,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
26,402,388.233,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
27,402,385.833,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
28,402,383.9,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
29,402,387.133,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
30,402,387.667,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
31,402,387.1,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
32,402,386,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
33,402,385.333,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
34,402,387.267,0100111101000011100001101100000010011111111111001110111111110000010100110110100110101101000000011000
35,402,387.667,0100111101000011100001101100100010011111111111001111111101110000010100110110100110101101000000111100
36,404,386.867,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
37,404,385.833,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
38,404,385.933,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
39,404,386.9,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
40,404,384.6,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
41,404,386.9,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
42,404,387,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
43,404,383.8,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
44,404,385.233,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
45,404,386.633,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
46,404,387.667,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
47,404,388.467,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
48,404,385.4,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
49,404,386.767,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
50,404,385.967,0100111101000011110001101100110010011111111100001111111101110000010100110110101110001101000000111100
51,408,388.9,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
52,408,389.967,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
53,408,391,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
54,408,391.9,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
55,408,392.4,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
56,408,394.033,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
57,408,392.2,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
58,408,392.167,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
59,408,392.333,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
60,408,391.367,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
61,408,390.9,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
62,408,390.833,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
63,408,389.967,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
64,408,388.667,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
65,408,390.667,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
66,408,390.633,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
67,408,394.4,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
68,408,392.267,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
69,408,389.7,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
70,408,389.4,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
71,408,389.767,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
72,408,390.567,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
73,408,392.667,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
74,408,393.133,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
75,408,390.9,0111001010101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
76,408,391.5,0111001110101110000011000010111110011111111110001111111101110000010110110110101110001101100000111100
77,409,393.4,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
78,409,394.933,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
79,409,392.067,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
80,409,392.733,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
81,409,388.4,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
82,409,389.167,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
83,409,388.3,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
84,409,389.4,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
85,409,389.5,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
86,409,389.333,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
87,409,389.033,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
88,409,390,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
89,409,390.667,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
90,409,391.733,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
91,409,390.033,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
92,409,389.8,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
93,409,387.767,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
94,409,385.133,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
95,409,387.633,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
96,409,389.567,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
97,409,391.133,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
98,409,391,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
99,409,390.367,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
100,409,392.1,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
101,409,392.067,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
102,409,391.667,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
103,409,392.933,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
104,409,391.6,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
105,409,391.767,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
106,409,391.633,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
107,409,389.8,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
108,409,387.1,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
109,409,387.767,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
110,409,388.4,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
111,409,387.767,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
112,409,387.167,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
113,409,390.533,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
114,409,390.667,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
115,409,389.667,0111001110101110000011000010111110011111111110001111111101110000010110110110101110101101000000111100
116,410,389.933,0111101110100110000001001010111010111111111110001101111101110100010110110110101110101001000000111100
117,410,389.767,0111101110100110000001001010111010111111111110001101111101110100010110110110101110101001000000111100
118,410,389.167,0111101110100110000001001010111010111111111110001101111101110100010110110110101110101001000000111100
119,410,390.933,0111101110100110000001001010111010111111111110001101111101110100010110110110101110101001000000111100
120,412,394.133,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
121,412,393.4,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
122,412,389.5,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
123,412,390.267,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
124,412,390.533,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
125,412,388.633,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
126,412,392.3,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
127,412,389.733,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
128,412,391.067,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
129,412,391.8,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
130,412,392.7,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
131,412,390,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
132,412,389.133,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
133,412,391.867,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
134,412,393.1,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
135,412,394.067,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
136,412,394.533,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
137,412,394.533,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
138,412,392.2,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
139,412,393.3,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
140,412,393.433,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
141,412,393.767,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
142,412,392.367,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
143,412,392,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
144,412,391.533,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
145,412,392.6,0111001010101110000011000010111110011011111110001111111101110000010110110110101110111101000000111100
146,412,393.667,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
147,412,392.533,0111001010101110000011000010111110011011111110001111111101110001010110110110101110111101000000111100
148,412,394.1,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
149,412,394.633,1011001010101110000111000010111110011011111110001111111101110001010110110110101110111101000000111100
150,412,394.9,0111001010101110000011000010111110011011111110001111111101110001010110110110101110111101000000111100
151,412,393.567,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
152,412,393.2,1011001010101110000111000010111110011011111110001111111101110001010110110110101110111101000000111100
153,412,394.767,0111001010101110000011000010111110011011111110001111111101110001010110110110101110111101000000111100
154,412,392.033,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
155,412,393,1011001010101110000111000010111110011011111110001111111101110001010110110110101110111101000000111100
156,412,390.733,0111001010101110000011000010111110011011111110001111111101110001010110110110101110111101000000111100
157,412,393.667,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
158,412,391.333,1011001010101110000111000010111110011011111110001111111101110001010110110110101110111101000000111100
159,412,388.967,0111001010101110000011000010111110011011111110001111111101110001010110110110101110111101000000111100
160,412,387.433,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
161,412,388.967,1011001010101110000111000010111110011011111110001111111101110001010110110110101110111101000000111100
162,412,387.967,0111001010101110000011000010111110011011111110001111111101110001010110110110101110111101000000111100
163,412,388.133,0111101110101110000001001010111110111011111010001111111101110000010110110110101110111101000000111100
164,413,391.567,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
165,413,390.833,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
166,413,387.867,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
167,413,389.933,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
168,413,391.767,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
169,413,390.467,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
170,413,390,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
171,413,388.333,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
172,413,389.2,1011101010101110000111010010111110011011011110001111111001110001010010110110101100011111000000111100
