gen,chrom,ST,LX,FO,violation,fitness
1,1111010000,23,8,1010,0.0,0.7426470588235294
2,1111010000,23,8,1010,0.0,0.7426470588235294
3,1111010000,23,8,1010,0.0,0.7426470588235294
4,1111010000,23,8,1010,0.0,0.7426470588235294
5,1111010000,23,8,1010,0.0,0.7426470588235294
6,1111110000,24,8,1040,0.0,0.7647058823529411
7,1111110000,24,8,1040,0.0,0.7647058823529411
8,1111110000,24,8,1040,0.0,0.7647058823529411
9,1111110000,24,8,1040,0.0,0.7647058823529411
10,1111110000,24,8,1040,0.0,0.7647058823529411
11,1111110000,24,8,1040,0.0,0.7647058823529411
12,1111110000,24,8,1040,0.0,0.7647058823529411
13,1111110000,24,8,1040,0.0,0.7647058823529411
14,1111110000,24,8,1040,0.0,0.7647058823529411
15,1111110000,24,8,1040,0.0,0.7647058823529411
16,1111110000,24,8,1040,0.0,0.7647058823529411
17,1111110000,24,8,1040,0.0,0.7647058823529411
18,1111110000,24,8,1040,0.0,0.7647058823529411
19,1111110000,24,8,1040,0.0,0.7647058823529411
20,1111110000,24,8,1040,0.0,0.7647058823529411
21,1111110000,24,8,1040,0.0,0.7647058823529411
22,1111110000,24,8,1040,0.0,0.7647058823529411
23,1111110000,24,8,1040,0.0,0.7647058823529411
24,1111110000,24,8,1040,0.0,0.7647058823529411
25,1111110000,24,8,1040,0.0,0.7647058823529411
26,1111110000,24,8,1040,0.0,0.7647058823529411
27,1111110000,24,8,1040,0.0,0.7647058823529411
28,1111110000,24,8,1040,0.0,0.7647058823529411
29,1111110000,24,8,1040,0.0,0.7647058823529411
30,1111110000,24,8,1040,0.0,0.7647058823529411
31,1111110000,24,8,1040,0.0,0.7647058823529411
32,1111110000,24,8,1040,0.0,0.7647058823529411
33,1111110000,24,8,1040,0.0,0.7647058823529411
34,1111110000,24,8,1040,0.0,0.7647058823529411
35,1111110000,24,8,1040,0.0,0.7647058823529411
36,1111110000,24,8,1040,0.0,0.7647058823529411
37,1111110000,24,8,1040,0.0,0.7647058823529411
38,1111110000,24,8,1040,0.0,0.7647058823529411
39,1111110000,24,8,1040,0.0,0.7647058823529411
40,1111110000,24,8,1040,0.0,0.7647058823529411
41,1111110000,24,8,1040,0.0,0.7647058823529411
42,1111110000,24,8,1040,0.0,0.7647058823529411
43,1111110000,24,8,1040,0.0,0.7647058823529411
44,1111110000,24,8,1040,0.0,0.7647058823529411
45,1111110000,24,8,1040,0.0,0.7647058823529411
46,1111110000,24,8,1040,0.0,0.7647058823529411
47,1111110000,24,8,1040,0.0,0.7647058823529411
48,1111110000,24,8,1040,0.0,0.7647058823529411
49,1111110000,24,8,1040,0.0,0.7647058823529411
50,1111110000,24,8,1040,0.0,0.7647058823529411
51,1111110000,24,8,1040,0.0,0.7647058823529411
52,1111110000,24,8,1040,0.0,0.7647058823529411
53,1111110000,24,8,1040,0.0,0.7647058823529411
54,1111110000,24,8,1040,0.0,0.7647058823529411
55,1111110000,24,8,1040,0.0,0.7647058823529411
56,1111110000,24,8,1040,0.0,0.7647058823529411
57,1111110000,24,8,1040,0.0,0.7647058823529411
58,1111110000,24,8,1040,0.0,0.7647058823529411
59,1111110000,24,8,1040,0.0,0.7647058823529411
60,1111110000,24,8,1040,0.0,0.7647058823529411
61,1111110000,24,8,1040,0.0,0.7647058823529411
62,1111110000,24,8,1040,0.0,0.7647058823529411
63,1111110000,24,8,1040,0.0,0.7647058823529411
64,1111110000,24,8,1040,0.0,0.7647058823529411
65,1111110000,24,8,1040,0.0,0.7647058823529411
66,1111110000,24,8,1040,0.0,0.7647058823529411
67,1111110000,24,8,1040,0.0,0.7647058823529411
68,1111110000,24,8,1040,0.0,0.7647058823529411
69,1111110000,24,8,1040,0.0,0.7647058823529411
70,1111110000,24,8,1040,0.0,0.7647058823529411
71,1111110000,24,8,1040,0.0,0.7647058823529411
72,1111110000,24,8,1040,0.0,0.7647058823529411
73,1111110000,24,8,1040,0.0,0.7647058823529411
74,1111110000,24,8,1040,0.0,0.7647058823529411
75,1111110000,24,8,1040,0.0,0.7647058823529411
76,1111110000,24,8,1040,0.0,0.7647058823529411
77,1111110000,24,8,1040,0.0,0.7647058823529411
78,1111110000,24,8,1040,0.0,0.7647058823529411
79,1111110000,24,8,1040,0.0,0.7647058823529411
80,1111110000,24,8,1040,0.0,0.7647058823529411
81,1111110000,24,8,1040,0.0,0.7647058823529411
82,1111110000,24,8,1040,0.0,0.7647058823529411
83,1111110000,24,8,1040,0.0,0.7647058823529411
84,1111110000,24,8,1040,0.0,0.7647058823529411
85,1111110000,24,8,1040,0.0,0.7647058823529411
86,1111110000,24,8,1040,0.0,0.7647058823529411
87,1111110000,24,8,1040,0.0,0.7647058823529411
88,1111110000,24,8,1040,0.0,0.7647058823529411
89,1111110000,24,8,1040,0.0,0.7647058823529411
90,1111110000,24,8,1040,0.0,0.7647058823529411
91,1111110000,24,8,1040,0.0,0.7647058823529411
92,1111110000,24,8,1040,0.0,0.7647058823529411
93,1111110000,24,8,1040,0.0,0.7647058823529411
94,1111110000,24,8,1040,0.0,0.7647058823529411
95,1111110000,24,8,1040,0.0,0.7647058823529411
96,1111110000,24,8,1040,0.0,0.7647058823529411
97,1111110000,24,8,1040,0.0,0.7647058823529411
98,1111110000,24,8,1040,0.0,0.7647058823529411
99,1111110000,24,8,1040,0.0,0.7647058823529411
100,1111110000,24,8,1040,0.0,0.7647058823529411
